218,15/16,Atiker Konyaspor,5
206,15/16,Terek Grozny,6
177,15/16,UD Almería,16
207,15/16,Ulsan Hyundai FC,17
189,15/16,FC København,9
167,15/16,Estoril Praia,7
172,15/16,Sporting Club de Bastia,2
291,15/16,FC Ingolstadt 04,1
174,15/16,AZ Alkmaar,14
96,15/16,SC Freiburg,26
59,15/16,Querétaro,12
290,15/16,Gençlerbirliği SK,5
582,15/16,Osmanlıspor,5
160,15/16,Gaziantepspor,5
319,15/16,KAA Gent,24
226,15/16,Medipol Başakşehir FK,5
583,15/16,Sint-Truidense VV,24
257,15/16,Grasshopper Club Zürich,25
295,15/16,Charlton Athletic,19
179,15/16,Middlesbrough,19
315,15/16,Deportivo Alavés,16
103,15/16,Real Valladolid CF,16
118,15/16,Al Ittihad,20
232,15/16,KVC Westerlo,24
584,15/16,CD Tondela,7
144,15/16,Cagliari,30
240,15/16,Burnley,19
101,15/16,FC Metz,33
268,15/16,Derby County,19
164,15/16,Eskişehirspor,5
330,15/16,Rosario Central,18
585,15/16,FC Anzhi Makhachkala,6
210,15/16,Sporting Kansas City,10
200,15/16,Universidad de Chile,27
586,15/16,União da Madeira,7
243,15/16,FC Arouca,7
401,15/16,ESTAC Troyes,2
198,15/16,San Jose Earthquakes,10
239,15/16,Mersin İdman Yurdu,5
222,15/16,Real Zaragoza,16
100,15/16,Vélez Sarsfield,18
208,15/16,Pachuca,12
275,15/16,RB Leipzig,26
186,15/16,FC Groningen,14
183,15/16,Club Atlético Tigre,18
249,15/16,Bolton Wanderers,19
368,15/16,Club Atlético Banfield,18
220,15/16,Rosenborg BK,29
283,15/16,Nottingham Forest,19
147,15/16,Independiente Santa Fe,28
213,15/16,Independiente Medellín,28
485,15/16,FC Pro Vercelli 1892,30
464,15/16,SV Darmstadt 98,1
194,15/16,Club Atlas,12
306,15/16,BSC Young Boys,25
587,15/16,Krylya Sovetov Samara,6
278,15/16,Associação Académica de Coimbra,7
181,15/16,Blackburn Rovers,19
353,15/16,Girona FC,16
175,15/16,Atlético Nacional,28
421,15/16,Rotherham United,19
184,15/16,Molde FK,29
212,15/16,KRC Genk,24
339,15/16,Gimnasia y Esgrima La Plata,18
217,15/16,Akhisar Belediyespor,5
499,15/16,Vicenza,30
406,15/16,GFC Ajaccio,2
332,15/16,Spezia,30
383,15/16,KV Mechelen,24
223,15/16,Fortuna Düsseldorf,26
203,15/16,KV Oostende,24
266,15/16,AJ Auxerre,33
170,15/16,FC Zürich,25
286,15/16,Ipswich Town,19
311,15/16,Deportivo Cali,28
201,15/16,Al Fateh,20
211,15/16,AIK,32
148,15/16,Córdoba CF,16
185,15/16,Universidad Católica,27
204,15/16,Estudiantes de La Plata,18
300,15/16,Leeds United,19
396,15/16,Vitória de Setúbal,7
